ID #,State #,District #,State,First Name,Last Name,Party,State and District,Year Entering Congress,Birth Date,Chamber,Gender,Twitter Account,Facebook Account,Wikipedia Data,Congress.gov
1,1,1,Alabama,Bradley,Byrne,Republican,Alabama 1,2013,"February 16, 1955",Representative,Male,https://www.twitter.com/RepByrne,https://www.facebook.com/RepByrne,https://en.wikipedia.org/wiki/Bradley_Byrne,https://www.congress.gov/member/bradley-byrne/B001289
2,1,2,Alabama,Martha,Roby,Republican,Alabama 2,2011,"July 26, 1976",Representative,Female,https://www.twitter.com/RepMarthaRoby,https://www.facebook.com/Representative.Martha.Roby/,https://en.wikipedia.org/wiki/Martha_Roby,https://www.congress.gov/member/martha-roby/R000591
3,1,3,Alabama,Mike,Rogers,Republican,Alabama 3,2003,"July 16, 1958",Representative,Male,https://www.twitter.com/RepMikeRogersAL,https://www.facebook.com/MikeRogersforCongress/,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician),https://www.congress.gov/member/mike-rogers/R000575
4,1,4,Alabama,Robert,Aderholt,Republican,Alabama 4,1997,"July 22, 1965",Representative,Male,https://www.twitter.com/robert_aderholt,https://www.facebook.com/RobertAderholt/,https://en.wikipedia.org/wiki/Robert_Aderholt,https://www.congress.gov/member/robert-aderholt/A000055
5,1,5,Alabama,Mo,Brooks,Republican,Alabama 5,2011,"April 29, 1954",Representative,Male,https://www.twitter.com/repmobrooks,https://www.facebook.com/RepMoBrooks/,https://en.wikipedia.org/wiki/Mo_Brooks,https://www.congress.gov/member/mo-brooks/B001274
6,1,6,Alabama,Gary,Palmer,Republican,Alabama 6,2015,"May 14, 1954",Representative,Male,https://www.twitter.com/USRepGaryPalmer,https://www.facebook.com/CongressmanGaryPalmer/,https://en.wikipedia.org/wiki/Gary_Palmer_(politician),https://www.congress.gov/member/gary-palmer/P000609
7,1,7,Alabama,Terri,Sewell,Democratic,Alabama 7,2011,"January 1, 1965",Representative,Female,https://www.twitter.com/RepTerriSewell,https://www.facebook.com/RepSewell/,https://en.wikipedia.org/wiki/Terri_Sewell,https://www.congress.gov/member/terri-sewell/S001185
8,2,1,Alaska At Large,Don,Young,Republican,Alaska At Large,1973,"June 9, 1933",Representative,Male,https://www.twitter.com/repdonyoung,https://www.facebook.com/RepDonYoung/,https://en.wikipedia.org/wiki/Don_Young,https://www.congress.gov/member/don-young/Y000033
9,3,1,Arizona,Tom,O'Halleran,Democratic,Arizona 1,2017,"January 24, 1946",Representative,Male,https://www.twitter.com/repohalleran,https://www.facebook.com/ohalleranforaz/,https://en.wikipedia.org/wiki/Tom_O%27Halleran,https://www.congress.gov/member/tom-o-halleran/O000171
10,3,2,Arizona,Martha,McSally,Republican,Arizona 2,2015,"March 22, 1966",Representative,Female,https://www.twitter.com/RepMcSally,https://www.facebook.com/RepMcSally/,https://en.wikipedia.org/wiki/Martha_McSally,https://www.congress.gov/member/martha-mcsally/M001197
11,3,3,Arizona,Raúl,Grijalva,Democratic,Arizona 3,2003,"February 19, 1948",Representative,Male,https://www.twitter.com/RepRaulGrijalva,https://www.facebook.com/Rep.Grijalva/,https://en.wikipedia.org/wiki/Raúl_Grijalva,https://www.congress.gov/member/raul-grijalva/G000551
12,3,4,Arizona,Paul,Gosar,Republican,Arizona 4,2011,"November 27, 1958",Representative,Male,https://www.twitter.com/RepGosar,https://www.facebook.com/repgosar/,https://en.wikipedia.org/wiki/Paul_Gosar,https://www.congress.gov/member/paul-gosar/G000565
13,3,5,Arizona,Andy,Biggs,Republican,Arizona 5,2017,"November 7, 1958",Representative,Male,https://www.twitter.com/RepAndyBiggsAZ,https://www.facebook.com/RepAndyBiggs/,https://en.wikipedia.org/wiki/Andy_Biggs_(politician),https://www.congress.gov/member/andy-biggs/B001302
14,3,6,Arizona,David,Schweikert,Republican,Arizona 6,2011,"March 3, 1962",Representative,Male,https://www.twitter.com/RepDavid,https://www.facebook.com/SchweikertForAZ/,https://en.wikipedia.org/wiki/David_Schweikert,https://www.congress.gov/member/david-schweikert/S001183
15,3,7,Arizona,Ruben,Gallego,Democratic,Arizona 7,2015,"November 20, 1979",Representative,Male,https://www.twitter.com/RepRubenGallego,https://www.facebook.com/RepRubenGallego/,https://en.wikipedia.org/wiki/Ruben_Gallego,https://www.congress.gov/member/ruben-gallego/G000574
16,3,8,Arizona,Trent,Franks,Republican,Arizona 8,2003,"June 19, 1957",Representative,Male,https://www.twitter.com/RepTrentFranks,https://www.facebook.com/TrentFranks/,https://en.wikipedia.org/wiki/Trent_Franks,https://www.congress.gov/member/trent-franks/F000448
17,3,9,Arizona,Kyrsten,Sinema,Democratic,Arizona 9,2013,"July 12, 1976",Representative,Female,https://www.twitter.com/RepSinema,https://www.facebook.com/ksinemaaz/,https://en.wikipedia.org/wiki/Kyrsten_Sinema,https://www.congress.gov/member/kyrsten-sinema/S001191
18,4,1,Arkansas,Rick,Crawford,Republican,Arkansas 1,2011,"January 22, 1966",Representative,Male,https://www.twitter.com/RepRickCrawford,https://www.facebook.com/RepRickCrawford/,https://en.wikipedia.org/wiki/Rick_Crawford_(politician),https://www.congress.gov/member/eric-crawford/C001087
19,4,2,Arkansas,French,Hill,Republican,Arkansas 2,2015,"December 5, 1956",Representative,Male,https://www.twitter.com/RepFrenchHill,https://www.facebook.com/RepFrenchHill/,https://en.wikipedia.org/wiki/French_Hill_(politician),https://www.congress.gov/member/j-hill/H001072
20,4,3,Arkansas,Steve,Womack,Republican,Arkansas 3,2011,"February 18, 1957",Representative,Male,https://www.twitter.com/Rep_SteveWomack,https://www.facebook.com/RepSteveWomack/,https://en.wikipedia.org/wiki/Steve_Womack,https://www.congress.gov/member/steve-womack/W000809
21,4,4,Arkansas,Bruce,Westerman,Republican,Arkansas 4,2015,"November 18, 1967",Representative,Male,https://www.twitter.com/RepWesterman,https://www.facebook.com/RepWesterman/,https://en.wikipedia.org/wiki/Bruce_Westerman,https://www.congress.gov/member/bruce-westerman/W000821
22,5,1,California,Doug,LaMalfa,Republican,California 1,2013,"July 2, 1960",Representative,Male,https://www.twitter.com/RepLaMalfa,https://www.facebook.com/RepLaMalfa/,https://en.wikipedia.org/wiki/Doug_LaMalfa,https://www.congress.gov/member/doug-lamalfa/L000578
23,5,2,California,Jared,Huffman,Democratic,California 2,2013,"February 18, 1964",Representative,Male,https://www.twitter.com/RepHuffman,https://www.facebook.com/RepHuffman/,https://en.wikipedia.org/wiki/Jared_Huffman,https://www.congress.gov/member/jared-huffman/H001068
